time,latitude,longitude,depth_pressure,TEMPERATURE,SALINITY
27660.57314814815,-15.65407833,89.88003166666667,453.1,9.043,34.679
27660.57314814815,-15.65407833,89.88003166666667,455.2,9.029,34.677
27660.57314814815,-15.65407833,89.88003166666667,457.5,8.993,34.677
27660.57314814815,-15.65407833,89.88003166666667,459.6,8.969,34.673
27660.57314814815,-15.65407833,89.88003166666667,461.8,8.946,34.674
27660.57314814815,-15.65407833,89.88003166666667,463.5,8.907,34.67
27660.57314814815,-15.65407833,89.88003166666667,465,8.89,34.67
27660.57314814815,-15.65407833,89.88003166666667,467.2,8.885,34.67
27660.57314814815,-15.65407833,89.88003166666667,469.3,8.884,34.669
27660.57314814815,-15.65407833,89.88003166666667,471.4,8.877,34.668
27660.57314814815,-15.65407833,89.88003166666667,473.6,8.854,34.667
27660.57314814815,-15.65407833,89.88003166666667,475.7,8.801,34.665
27660.57314814815,-15.65407833,89.88003166666667,477.9,8.755,34.664
27660.57314814815,-15.65407833,89.88003166666667,479.5,8.744,34.664
27660.57314814815,-15.65407833,89.88003166666667,481.1,8.729,34.663
27660.57314814815,-15.65407833,89.88003166666667,483.2,8.712,34.664
27660.57314814815,-15.65407833,89.88003166666667,485.4,8.697,34.663
27660.57314814815,-15.65407833,89.88003166666667,487.5,8.675,34.663
27660.57314814815,-15.65407833,89.88003166666667,489.7,8.665,34.663
27660.57314814815,-15.65407833,89.88003166666667,491.8,8.657,34.662
27660.57314814815,-15.65407833,89.88003166666667,493.4,8.64,34.661
27660.57314814815,-15.65407833,89.88003166666667,495,8.599,34.662
27660.57314814815,-15.65407833,89.88003166666667,497.3,8.564,34.66
27660.57314814815,-15.65407833,89.88003166666667,499.3,8.537,34.66
27660.57314814815,-15.65407833,89.88003166666667,501.4,8.522,34.659
27660.57314814815,-15.65407833,89.88003166666667,503.4,8.518,34.659
27660.57314814815,-15.65407833,89.88003166666667,505.5,8.512,34.658
27660.57314814815,-15.65407833,89.88003166666667,507.6,8.461,34.658
27660.57314814815,-15.65407833,89.88003166666667,509.3,8.43,34.656
27660.57314814815,-15.65407833,89.88003166666667,511.4,8.388,34.656
27660.57314814815,-15.65407833,89.88003166666667,513.6,8.353,34.656
27660.57314814815,-15.65407833,89.88003166666667,515.3,8.345,34.656
27660.57314814815,-15.65407833,89.88003166666667,517.4,8.326,34.656
27660.57314814815,-15.65407833,89.88003166666667,519.6,8.304,34.657
27660.57314814815,-15.65407833,89.88003166666667,521.3,8.285,34.656
27660.57314814815,-15.65407833,89.88003166666667,523.1,8.282,34.656
27660.57314814815,-15.65407833,89.88003166666667,525.3,8.27,34.656
27660.57314814815,-15.65407833,89.88003166666667,527.5,8.238,34.655
27660.57314814815,-15.65407833,89.88003166666667,529.3,8.224,34.655
27660.57314814815,-15.65407833,89.88003166666667,531.1,8.205,34.654
27660.57314814815,-15.65407833,89.88003166666667,533.4,8.169,34.654
27660.57314814815,-15.65407833,89.88003166666667,535.6,8.111,34.652
27660.57314814815,-15.65407833,89.88003166666667,537.4,8.074,34.65
27660.57314814815,-15.65407833,89.88003166666667,539.3,8.068,34.65
27660.57314814815,-15.65407833,89.88003166666667,541.2,8.045,34.65
27660.57314814815,-15.65407833,89.88003166666667,543.5,8.027,34.652
27660.57314814815,-15.65407833,89.88003166666667,545.8,8.009,34.653
27660.57314814815,-15.65407833,89.88003166666667,547.7,7.992,34.653
27660.57314814815,-15.65407833,89.88003166666667,549.6,7.987,34.653
27660.57314814815,-15.65407833,89.88003166666667,551.5,7.969,34.652
27660.57314814815,-15.65407833,89.88003166666667,553.5,7.955,34.652
27660.57314814815,-15.65407833,89.88003166666667,555.4,7.937,34.652
27660.57314814815,-15.65407833,89.88003166666667,557.4,7.92,34.653
27660.57314814815,-15.65407833,89.88003166666667,559.4,7.903,34.653
27660.57314814815,-15.65407833,89.88003166666667,561.4,7.889,34.652
27660.57314814815,-15.65407833,89.88003166666667,563.3,7.868,34.653
